Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R42        0603w               1648.5mil     2747.2mil       1681mil     2747.2mil       1681mil     2747.2mil  B        180.00 78.7k          
R41        0603w               1648.5mil     2807.2mil       1616mil     2807.2mil       1616mil     2807.2mil  B          0.00 140k           
L18        0805                  1125mil       2905mil       1170mil       2905mil       1170mil       2905mil  B        180.00 1.0uH          
L17        0805                  1125mil       2800mil       1080mil       2800mil       1080mil       2800mil  B        360.00 1.0uH          
L16        1210                  1140mil     1236.5mil       1140mil       1169mil       1140mil       1169mil  B         90.00 1.0uH          
L15        1210                   985mil     1236.5mil        985mil       1304mil        985mil       1304mil  B        270.00 1.0uH          
L14        0805                   865mil       3095mil        820mil       3095mil        820mil       3095mil  B        360.00 1.0uH          
L13        0805                   865mil       2990mil        910mil       2990mil        910mil       2990mil  B        180.00 1.0uH          
L12        1210                  1052mil      386.5mil       1052mil        319mil       1052mil        319mil  B         90.00 1.0uH          
L11        1210                   897mil      386.5mil        897mil        454mil        897mil        454mil  B        270.00 1.0uH          
L10        1210                   481mil      385.5mil        481mil        318mil        481mil        318mil  B         90.00 1.0uH          
L9         1210                   326mil      385.5mil        326mil        453mil        326mil        453mil  B        270.00 1.0uH          
L8         1210                  1139mil      786.5mil       1139mil        719mil       1139mil        719mil  B         90.00 1.0uH          
L7         1210                   984mil      786.5mil        984mil        854mil        984mil        854mil  B        270.00 1.0uH          
L6         0805                  1506mil     2927.2mil       1506mil     2882.2mil       1506mil     2882.2mil  B         90.00 1.0uH          
L5         0805                  1413mil     2928.2mil       1413mil     2973.2mil       1413mil     2973.2mil  B        270.00 1.0uH          
L4         0805                  2220mil     2927.2mil       2220mil     2882.2mil       2220mil     2882.2mil  B         90.00 1.0uH          
L3         0805                  2127mil     2928.2mil       2127mil     2973.2mil       2127mil     2973.2mil  B        270.00 1.0uH          
L2         1210                   658mil     1536.5mil        658mil       1469mil        658mil       1469mil  B         90.00 1.0uH          
L1         1210                   500mil     1537.5mil        500mil       1605mil        500mil       1605mil  B        270.00 1.0uH          
C72        0603w               1651.5mil     2291.2mil       1684mil     2291.2mil       1684mil     2291.2mil  B        180.00 100pF          
C71        1206                1147.5mil       3015mil       1080mil       3015mil       1080mil       3015mil  B        360.00 10uF           
C70        0603w                 1260mil     2887.5mil       1260mil       2855mil       1260mil       2855mil  B         90.00 0.1uF          
C69        1206                  1275mil     1236.5mil       1275mil       1304mil       1275mil       1304mil  B        270.00 10uF           
C68        0603w               1143.5mil       1076mil       1111mil       1076mil       1111mil       1076mil  B        360.00 0.1uF          
C67        0603w                830.5mil       1454mil        863mil       1454mil        863mil       1454mil  B        180.00 100pF          
C66        1206                 842.5mil       3205mil        910mil       3205mil        910mil       3205mil  B        180.00 10uF           
C65        0603w                  730mil     3077.5mil        730mil       3045mil        730mil       3045mil  B         90.00 0.1uF          
C64        0603w               1051.5mil        226mil       1019mil        226mil       1019mil        226mil  B        360.00 0.1uF          
C63        1206                  1187mil      386.5mil       1187mil        319mil       1187mil        319mil  B         90.00 10uF           
C62        0603w               1648.5mil     2867.2mil       1681mil     2867.2mil       1681mil     2867.2mil  B        180.00 100pF          
C61        1206                   616mil      385.5mil        616mil        453mil        616mil        453mil  B        270.00 10uF           
C60        0603w                480.5mil        225mil        448mil        225mil        448mil        225mil  B        360.00 0.1uF          
C59        1206                  1274mil      786.5mil       1274mil        854mil       1274mil        854mil  B        270.00 10uF           
C58        0603w               1138.5mil        626mil       1106mil        626mil       1106mil        626mil  B        360.00 0.1uF          
C57        1206                  1861mil     2999.7mil       1861mil     3067.2mil       1861mil     3067.2mil  B        270.00 100uF          
